data,velmed
2021-01-01,13
2021-01-02,15
2021-01-05,19
2021-01-08,6
2021-01-09,14
2021-01-10,16
2021-01-11,17
2021-01-14,16
2021-01-15,17
2021-01-16,15
2021-01-22,0
2021-01-24,13
2021-01-25,14
2021-01-26,16
2021-01-27,36
2021-01-28,17
2021-01-29,17
2021-01-31,11
2021-02-01,15
2021-02-02,14
2021-02-03,14
2021-02-04,16
2021-02-05,15
2021-02-06,13
2021-02-07,14
2021-02-08,14
2021-02-09,14
2021-02-10,14
2021-02-11,15
2021-02-12,14
2021-02-13,15
2021-02-14,15
2021-02-15,15
2021-02-16,16
2021-02-17,15
2021-02-18,15
2021-02-19,15
2021-02-20,15
2021-02-21,13
2021-02-22,15
2021-02-23,15
2021-02-24,15
2021-02-25,17
2021-02-26,14
2021-02-27,14
2021-02-28,15
2021-03-01,15
2021-03-02,15
2021-03-03,14
2021-03-04,14
2021-03-05,16
2021-03-06,12
2021-03-07,14
2021-03-08,13
2021-03-09,15
2021-03-10,15
2021-03-11,15
2021-03-12,14
2021-03-13,14
2021-03-14,18
2021-03-15,14
2021-03-16,14
2021-03-17,14
2021-03-18,14
2021-03-19,15
2021-03-20,12
2021-03-21,16
2021-03-22,14
2021-03-23,14
2021-03-24,14
2021-03-25,14
2021-03-26,14
2021-03-27,14
2021-03-28,14
2021-03-29,14
2021-03-30,14
2021-03-31,14
2021-04-01,14
2021-04-02,13
2021-04-03,13
2021-04-04,15
2021-04-05,14
2021-04-06,13
2021-04-07,15
2021-04-08,15
2021-04-09,15
2021-04-10,13
2021-04-11,14
2021-04-12,13
2021-04-13,13
2021-04-14,14
2021-04-15,14
2021-04-16,14
2021-04-17,13
2021-04-18,15
2021-04-19,13
2021-04-20,13
2021-04-21,14
2021-04-22,14
2021-04-23,15
2021-04-24,13
2021-04-25,13
2021-04-26,15
2021-04-27,15
2021-04-28,13
2021-04-29,14
2021-04-30,15
2021-05-01,15
2021-05-02,16
2021-05-03,14
2021-05-04,14
2021-05-05,16
2021-05-06,17
2021-05-07,14
2021-05-08,13
2021-05-09,16
2021-05-10,18
2021-05-11,17
2021-05-12,16
2021-05-13,14
2021-05-14,16
2021-05-15,14
2021-05-16,15
2021-05-17,15
2021-05-18,16
2021-05-19,14
2021-05-20,16
2021-05-21,16
2021-05-22,14
2021-05-23,14
2021-05-24,15
2021-05-25,16
2021-05-26,16
2021-05-27,18
2021-05-28,15
2021-05-29,15
2021-05-30,17
2021-05-31,15
